line_id,line,line_name,line_subname,color,created_at,updated_at
1,1호선,수도권 전철 1호선,경원선,#0052A4,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
2,2호선,서울 지하철 2호선,을지로순환선,#00A84D,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
3,3호선,수도권 전철 3호선,일산선,#EF7C1C,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
4,4호선,수도권 전철 4호선,진접선,#00A4E3,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
5,5호선,수도권 전철 5호선,서울 지하철 5호선,#996CAC,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
6,6호선,서울 지하철 6호선,서울 지하철 6호선,#CD7C2F,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
7,7호선,서울 지하철 7호선,서울 지하철 7호선,#747F00,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
8,8호선,서울 지하철 8호선,서울 지하철 8호선,#E6186C,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
9,9호선,서울 지하철 9호선,서울 지하철 9호선,#BDB092,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
10,인천1호선,인천 도시철도 1호선,,#759CCE,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
11,인천2호선,인천 도시철도 2호선,,#F5A251,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
12,경강선,수도권 전철 경강선,수도권 전철 경강선,#0054A6,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
13,경의중앙선,수도권 전철 경의중앙선,경의선,#77C4A3,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
14,경춘선,수도권 전철 경춘선,중앙선,#178C72,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
15,공항철도,인천국제공항철도,,#0090D2,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
16,서해선,수도권 전철 서해선,서해선,#8FC31F,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
17,수인분당선,수도권 전철 수인·분당선,경원선,#FABE00,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
18,신분당선,수도권 전철 신분당선,신분당선,#D31145,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
19,신림선,서울 경전철 신림선,서울 경전철 신림선,#6789CA,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
20,우이신설선,서울 경전철 우이신설선,서울 경전철 우이신설선,#B7C450,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
21,김포골드라인,김포 골드라인,김포 골드라인,#AD8605,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
22,용인에버라인,용인 경전철(용인 에버라인),용인 경전철,#56AD2D,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
23,의정부경전철,의정부 경전철,의정부 경전철,#FD8100,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
24,GTXA,수도권 광역급행철도 A노선,수도권광역급행철도에이선(운정~수서),#9A6292,2025-10-27 14:42:52.198957,2025-10-27 14:42:52.198957
